question	answer	source
Quel est le nom de Mickey Mouse en italien ?	Topolino	https://en.wikipedia.org/wiki/Topolino
Quel est le nom de Donald Duck en italien ?	Paperino	https://it.wikipedia.org/wiki/Paperino
Quel est le nom du pokemon Dracaufeu en anglais ?	Charizard	https://en.wikipedia.org/wiki/Charizard
Quel est le nom du pokémon Rondoudou en allemand ?	Pummeluff	https://www.pokewiki.de/Pummeluff
Quel est le nom du pokémon Torktank en allemand ?	Turtok	https://www.pokewiki.de/Turtok
Quel est le nom du pokémon Tortank en anglais ?	Blastoise	https://bulbapedia.bulbagarden.net/wiki/Blastoise_(Pok%C3%A9mon)
Quel est le nom du pokémon Ronflex en anglais ?	Snorlax	https://bulbapedia.bulbagarden.net/wiki/Snorlax_(Pok%C3%A9mon)
Quel est le nom du pokémon Ronflex en allemand ?	Relaxo	https://www.pokewiki.de/Relaxo
Quel est le nom du pokémon Miaouss en allemand ?	Mauzi	https://www.pokewiki.de/Mauzi
Quel est le nom du pokémon Miaouss en anglais ?	Meowth	https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon)
Quel était le slogan pour la campagne présidentielle de François Mitterrand en 1965 ?	Un président jeune pour une France moderne	https://fr.wikipedia.org/wiki/Slogan_politique
Quel était le slogan pour la campagne présidentielle de Valérie Giscard d'Estaing en 1974 ?	La paix et la sécurité	https://fr.wikipedia.org/wiki/Slogan_politique
Quel était l'un des slogans pour la campagne présidentielle de Lionel Jospin en 1995 ?	Avec Jospin c'est clair	https://fr.wikipedia.org/wiki/Slogan_politique
Quel était le slogan pour la campagne présidentielle de Ségolène Royal au second tour en 2007 ?	La France Présidente	https://fr.wikipedia.org/wiki/Slogan_politique
Quel était l'un des slogans pour la campagne présidentielle de José Bové en 2007 ?	Osez Bové	https://fr.wikipedia.org/wiki/Slogan_politique
Quel était le slogan pour la campagne de Jacques Chirac aux élections municipales de Paris en 1977 ?	Chirac pour Paris	https://fr.wikipedia.org/wiki/Slogan_politique
Quel était le slogan de Vittel publié en 1979 ?	Buvez, éliminez	https://www.strategies.fr/actualites/marques/r14504W/vittel-retour-a-la-source.html
Quel était le slogan de Kiri apparaissant pour la première fois à la télévision française en 1969 ?	Le fromage des gastronomes en culottes courtes	https://www.ribambel.com/kiri/notre-marque/la-saga-kiri
Quel est le slogan français de Coca-Cola publié en 2021 ?	Ouvre du Ahhhh	https://www.coca-cola-france.fr/communiques-de-presse/coca-cola-presente-nouvelle-campagne-ouvre-du-ahhhh-experience-unique-ressentie-lorsque-on-boit-coca-cola
Quel est le slogan français de Coca-Cola publié en 2006 ?	Prends la vie côté Coca‑Cola	https://www.coca-cola-france.fr/histoire/les-evenements-les-plus-marquants-de-l-histoire-de-coca-cola/les-slogans-coca-cola-au-fil-des-annees
Quel est le slogan français de Coca-Cola publié en 1963 ?	Les choses vont mieux avec un Coca‑Cola	https://www.coca-cola-france.fr/histoire/les-evenements-les-plus-marquants-de-l-histoire-de-coca-cola/les-slogans-coca-cola-au-fil-des-annees
Quel est le slogan français de Coca-Cola publié en 1929 ?	La pause qui rafraîchit	https://www.coca-cola-france.fr/histoire/les-evenements-les-plus-marquants-de-l-histoire-de-coca-cola/les-slogans-coca-cola-au-fil-des-annees
Décrire l'animal dénommé le tarsier.	C'est un petit singe avec de gros yeux.	https://fr.wikipedia.org/wiki/Tarsier
Compléter la phrase suivante. Le dugong est un mammifère marin surnommé ... .	La vache marine	https://fr.wikipedia.org/wiki/Dugong
Quelle est la particularité physique de la gazelle de Waller ?	Elle a un long cou.	https://en.wikipedia.org/wiki/Gerenuk
Quelle est la particularité physique de l'hétérocéphale ? (C'est un petit rongeur.)	Il est glabre.	https://fr.wikipedia.org/wiki/Rat-taupe_nu
Compléter la phrase suivante. La pieuvre Dumbo possède ... .	deux nageoires en forme d'oreilles	https://fr.wikipedia.org/wiki/Grimpoteuthis
Compléter la phrase suivante. Le poisson perroquet-bleu a sur la tête ... .	un point jaune qui s'estompe avec l'âge	https://fr.wikipedia.org/wiki/Scarus_coeruleus
Depuis 1313, au sein du parlement britannique, qu'est-il interdit de porter ?	Une armure	https://historycollection.com/40-unusual-laws-in-history
En 1898, quel activité fut interdite en Grande-Bretagne dans les bibliothèques ?	Les jeux d'argent	https://historycollection.com/40-unusual-laws-in-history
Dans l'État Victoria en Australie, quelle activité ludique est interdite depuis 1966 ?	Le cerf-volant	https://historycollection.com/40-unusual-laws-in-history
En 1647, qu'interdisa le parlement britannique ?	Noël	https://historycollection.com/40-unusual-laws-in-history
Compléter la phrase suivante. Depuis le 19ème siècle, il est interdit de ... à Milan.	ne pas sourire	https://historycollection.com/40-unusual-laws-in-history
Comment est mort le mathématicien Witold Hurewicz au Mexique ?	En tombant d'une pyramide Maya	https://fr.wikipedia.org/wiki/Witold_Hurewicz
Avant d'être coureur cycliste, quel etait le sport pratiqué professionnelement par Primož Roglič ?	Le saut à ski	https://fr.wikipedia.org/wiki/Primo%C5%BE_Rogli%C4%8D
Compléter la phrase suivante. Par une loi de 1736 en Angletterre, les sorcières sont autorisées mais il est illégal ... .	de se faire passer pour une sorcière	https://historycollection.com/40-unusual-laws-in-history
Par une loi de 1963, que doit avoir un logement en Suisse ?	Un accès à un abri antiatomique	https://historycollection.com/40-unusual-laws-in-history
Quel est le deuxième prénom de l'acteur Macaulay Culkin ?	Macaulay Culkin	https://en.wikipedia.org/wiki/Macaulay_Culkin
Quelle fut la particularité du tournoi de tennis de Madrid sur terre battue en 2012 ?	La terre battue était bleue.	https://fr.wikipedia.org/wiki/Tournoi_de_tennis_de_Madrid_(ATP_2012)
Le colonel en chef (titre cérémonieux) de la garde royale de Norvège est un animal. Lequel ?	Un manchot royal	https://fr.wikipedia.org/wiki/Nils_Olav
Que portaient les officiers janissaires dans leur coiffe ?	Une louche	https://fr.wikipedia.org/wiki/Janissaire
Quel est l'un des surnoms de Seatle ?	La ville émeraude	https://fr.wikipedia.org/wiki/Seattle
Compléter la phrase suivante. Salvador Dali a conduit une Rolls Royce remplie à ras bord de ... .	choux-fleurs	https://culturalcocktailhour.wordpress.com/2011/07/29/salvador-dali-and-the-cauliflower-stuffed-rolls-royce
Compléter la phrase suivante. Loi américaine curieuse : en Alabama, il est illégal ... à l'église.	de porter une fausse moustache qui fait rire	https://online.olivet.edu/news/united-states-crazy-laws
Compléter la phrase suivante. Loi américaine curieuse : en Alaska, il est illégal de réveiller un ours endormi... .	pour prendre une photo	https://online.olivet.edu/news/united-states-crazy-laws
Compléter la phrase suivante. Loi américaine curieuse : en Arizona, il est illégal pour les ânes... .	de dormir dans des baignoires	https://online.olivet.edu/news/united-states-crazy-laws
Compléter la phrase suivante. Loi américaine curieuse : en Floride, si..., les frais de stationnement doivent être payés comme pour un véhicule.	un éléphant est attaché au parcmètre	https://online.olivet.edu/news/united-states-crazy-laws
Compléter la phrase suivante. Loi américaine curieuse : en Géorgie, il est illégal de garder... dans sa poche arrière le dimanche.	un cornet de glace	https://online.olivet.edu/news/united-states-crazy-laws
Compléter la phrase suivante. Loi américaine curieuse : dans le Connecticut, un cornichon ne peut pas être légalement considéré comme un cornichon à moins ... .	qu'il rebondisse	https://online.olivet.edu/news/united-states-crazy-laws
Compléter la phrase suivante. Loi américaine curieuse : dans l'Idaho, il est illégal d'offrir à sa chérie une boîte de chocolats ... .	pesant plus de 50 livres	https://online.olivet.edu/news/united-states-crazy-laws
Compléter la phrase suivante. Loi américaine curieuse : dans le Kentucky, on ne peut pas... et l'offrir à la vente sauf si plus de six sont à vendre en même temps.	teindre un caneton bleu	https://online.olivet.edu/news/united-states-crazy-laws
Compléter la phrase suivante. Loi américaine curieuse : en Louisiane, vous pouvez être condamné à une amende de 500 $ pour avoir envoyé ... à la maison à l'insu de son résident.	une pizza	https://online.olivet.edu/news/united-states-crazy-laws
Compléter la phrase suivante. Loi américaine curieuse : dans le Maine, concernant les décorations de Noël, il est illégal de ... .	les laisser après le 14 janvier	https://online.olivet.edu/news/united-states-crazy-laws
Compléter la phrase suivante. Loi américaine curieuse : dans le Minnesota, une personne ne peut pas franchir les frontières de l'État ... .	avec un canard sur la tête	https://online.olivet.edu/news/united-states-crazy-laws
Compléter la phrase suivante. Loi américaine curieuse : dans le Missouri, il est illégal de conduire ... .	avec un ours sans cage dans le véhicule	https://online.olivet.edu/news/united-states-crazy-laws
Compléter la phrase suivante. Loi américaine curieuse : au Nevada, il est interdit de conduire... sur l'autoroute.	un chameau	https://online.olivet.edu/news/united-states-crazy-laws
Compléter la phrase suivante. Loi américaine curieuse : dans le New Hampshire, depuis 1973, il est illégal d'emporter ou de ramasser ... la nuit.	des algues	https://online.olivet.edu/news/united-states-crazy-laws
Compléter la phrase suivante. Loi américaine curieuse : dans le Dakota du Nord, il est illégal de s'allonger et de s'endormir... .	avec des chaussures aux pieds	https://online.olivet.edu/news/united-states-crazy-laws
Compléter la phrase suivante. Loi américaine curieuse : dans l'Oklahoma, il est illégal de pratiquer la lutte ... .	avec un ours	https://online.olivet.edu/news/united-states-crazy-laws
Compléter la phrase suivante. Loi américaine curieuse : dans l'Oregon, il est illégal d'aller à la chasse ... .	dans un cimetière	https://online.olivet.edu/news/united-states-crazy-laws
Compléter la phrase suivante. Loi américaine curieuse : dans le Dakota du Sud, il est illégal de dormir ... .	dans une fabrique de fromage	https://online.olivet.edu/news/united-states-crazy-laws
Compléter la phrase suivante. Loi américaine curieuse : dans le Tennessee, il est illégal de partager votre ... .	mot de passe Netflix	https://online.olivet.edu/news/united-states-crazy-laws
Compléter la phrase suivante. Loi américaine curieuse : en Virginie-Occidentale, siffler ... est interdit.	sous l'eau	https://online.olivet.edu/news/united-states-crazy-laws
Compléter la phrase suivante. Loi américaine curieuse : dans le Wisconsin, il est illégal de servir des substituts de beurre ... .	en prison	https://online.olivet.edu/news/united-states-crazy-laws
Compléter la phrase suivante. Loi américaine curieuse : dans le Wyoming, vous ne pouvez pas ... de janvier à avril sans permis officiel.	prendre une photo d'un lapin	https://online.olivet.edu/news/united-states-crazy-laws
Quel porte-bonheur Yannick Noah avait-il dans sa poche lors de sa victoire à Rolland-Garros ?	Un petit cochon en peluche	https://www.leparisien.fr/sports/il-y-a-vingt-ans-noah-23-05-2003-2004109884.php
Que signifie l'expression québécoise "C'est tiguidou !" ?	C'est parfait !	https://fr.wiktionary.org/wiki/%C3%AAtre_tiguidou
Que signifie le mot zinzolin ?	C'est un nom de couleur désignant un violet rougeâtre.	https://fr.wikipedia.org/wiki/Zinzolin
Le sapajou vit dans les forêts humides et chaudes d'Amérique centrale et du sud. Décrire cet animal.	C'est un petit singe.	https://fr.m.wikipedia.org/wiki/Sapajou
Les grassettes sont des plantes fréquentes le long des ruisseaux dans les Alpes et les Pyrénées. En quoi sont-elles singulières ?	Ce sont des plantes carnivores.	https://fr.m.wikipedia.org/wiki/Grassette
Que se passa-t-il à Rome du 5 au 14 octobre 1582 ?	RIen, ces jours n'ont pas eu lieu.	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2004
Le col du Taïbit est un col de montagne de La Réunion. En malgache, que signifie Taïbit ?	Petites crottes de lapin	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2005
Quel est le mot allemand le plus long ? (Il comporte 63 lettres.)	Rindfleisch­etikettierungs­überwachungs­aufgaben­übertragungs­gesetz	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2005
L'arbre le plus volumineux du monde est un séquoia géant. En 1879, le naturaliste James Wolverton lui donne un nom. Quel est-il ?	General Sherman	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2005
Quelle est la devise de la principauté d'Andorre ?	Touche-moi si tu oses	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2006
Compléter la phrase suivante. L'équipe d'Inde de football fut invitée à prendre part à la Coupe du monde de 1950 au Brésil mais elle n'y participa pas car à cette période ... .	les footballeurs indiens jouaient sans chaussures	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2006
"Return of the Jedi" est le nom de l'épisode VI de Star Wars. Comment devait-il s'appeler au départ ?	Revenge of the Jedi	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2006
Donner un aspect étonnant de la devise nationale du Royaume-Uni.	Elle est rédigée en français.	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2006
De quelle expression française provient le mot flirt ?	Compter fleurette	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2006
Compléter cette phrase. Étrangement, les musaraignes meurent si ... .	elles arrêtent de se nourrir pendant plus de quatre heures	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2006
A quoi sert le dispositif nommé "échelles à poissons" ?	Il permet aux poissons de franchir un barrage.	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2006
Qu'est-ce qu'une SantaCon dans les pays anglo-saxons ?	Une réunion paillarde de pères Noël	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2006
Qu'est ce qu'un ugli ?	Un agrume jamaïcain	https://fr.m.wikipedia.org/wiki/Ugli
Décrire le drapeau de Mars, proposé par la Mars Society et The Planetary Society.	Il comporte 3 bandes verticales: une rouge, une verte et une bleue.	https://fr.m.wikipedia.org/wiki/Drapeau_de_Mars
En 1996, une organisation secrète voit le jour en France. Son objectif est de libérer les nains de jardin. Quel est le nom de cette organisation ?	Front de libération des nains de jardin	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2007
Décrire un fait étonnant sur les premiers dinosaures volants.	Ils utilisaient deux paires d’ailes pour voler.	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2007
Décrire le bug informatique qui a causé la perte de la sonde de Vénus nommée Mariner 1 en 1962.	Un caractère oublié dans le programme de guidage	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2007
Compléter la phrase suivante. Durant la Seconde Guerre mondiale, l’opération Bernhard était un projet allemand visant à perturber l’économie britannique en ... .	inondant le pays avec des faux billets	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2007
Quel est le nom de la première bombe atomique de l'histoire ?	Gadget	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2007
Le Dagen H (« jour H » en suédois) s’est tenu le dimanche 3 septembre 1967 en Suède. Que s'est-il passé à cette date ?	Le sens de la circulation changea du côté gauche vers le côté droit.	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2007
À partir des années 1970 que fit construire le dirigeant albanais Enver Hoxha par crainte d’une attaque contre son pays ?	750 000 bunkers	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2007
Qu'est-ce que l'historiographie ?	L'histoire de l'histoire	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2007
Décrire le pudu du Sud, qui est un animal vivant en Amérique du Sud.	C'est un très petit cervidé.	https://fr.m.wikipedia.org/wiki/Pudu_puda
Un ornithologue américain devint célèbre car son nom fut donné à un héros de fiction. Quel était son nom ? (nom + prénom)	James Bond	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2007
Qu'inventa Nicolas Appert en 1795 ? (Dans le domaine de l'alimentation)	La mise en conserve	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2008
Dans le domaine de l'astronomie, qu'est-ce que l'échelle de Turin ?	Une méthode pour catégoriser les risques d'impacts avec la Terre	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2008
Citer une particularité du lac Ontario Lacus.	C'est un lac extraterrestre.	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2008
Compléter la phrase suivante. La première voiture qui a dépassé les 100 km/h était électrique et s’appelait ... .	la Jamais contente	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2008
Au Mali, qu'est-ce que le Bambara ?	Une des langues nationales	https://fr.m.wikipedia.org/wiki/Bambara
Qu'est-ce que le Bloop, un phénomène détecté à plusieurs reprises durant l’été 1997 dans l'océan Pacifique ?	Un son gigantesque	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2008
Le garum était une sauce, le principal condiment des Romains. De quoi est-il constitué ?	De poisson fermenté dans du sel	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2008
Le 27 mai 2000, Tevita Momoedonu devient Premier ministre des îles Fidji. Quelle fut la particularité de son mandat ?	Il ne dura que quelques minutes.	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2008
Quelle est la particularité du journal périodique humoristique français "La Bougie du Sapeur" ?	Il paraît seulement les 29 février.	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2008
Quelle est la particularité de la République de Nauru ?	Elle n'a pas de capitale.	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2008
Quelle est la particularité de l'hymne national de l'Espagne ?	Il n'a pas de paroles officielles.	https://fr.m.wikipedia.org/wiki/Marcha_Real
Comment s'appelle le sport inventé en Californie en 1979 et qui combine la course à pied et le golf ?	Le Speed golf	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2008
Le jour de la saint Joseph en mars la ville de Valence (Espagne) organise la crema de les falles. Que se passe-t-il lors de cette fête populaire ?	D’immenses personnages de carton-pâte sont brûlés en pleine rue.	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2008
Décrire l'étonnant drapeau de la Libye entre 1977 et 2011.	C'est un simple fond vert.	https://fr.m.wikipedia.org/wiki/Drapeau_de_la_Libye
Quelle est la particularité du parc "Mill Ends Park" situé à Portland ?	C'est le plus petit parc du monde.	https://fr.m.wikipedia.org/wiki/Mill_Ends_Park
Compléter cette phrase. Le ratel est avec l’être humain le seul mammifère capable de ... .	courir en arrière	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2008
Compléter cette phrase. La Père Marquette est le nom d'un ... de l'État du Michigan aux États-Unis.	cours d'eau	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2008
Pourquoi la mort du compositeur Sergueï Prokofiev passa largement inapercue ?	Car il est mort le même jour que Staline.	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2008
L’ambre gris, qui est utilisée dans la composition de certains parfums, est une matière organique. Quelle est-elle ?	Une sorte de déjection émanant du cachalot	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2008
Quelle est la particularité des plaques d'immatriculation émises par les Territoires du Nord-Ouest et du Nunavut, au Canada ?	Elles sont en forme d'ours polaire.	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2008
Qu'est-ce que le réflexe photo-sternutatoire ?	Un éternument provoqué par une exposition à la lumière vive	https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Le_saviez-vous_%3F/Archives/2008
